L,xl,xr,
mm,mm,mm,
1260,83,917
1200,114,898
1100,136,864
1000,170,832
900,202,797
800,236,765
700,268,731
600,300,697
500,335,663
400,370,632
300,403,600
200,435,567
150,453,550
100,469,532
